verb, bedeutung
abhAngen von D, zale¿eæ od
achten auf Akk, uwa¿aæ na
anfangen/beginnen mit D, rozpoczynaæ coœ
ankommen in D, przybywaæ do
antworten auf Akk, odpowiadaæ na
arbeiten an D, pracowaæ nad
Argern sich Uber Akk, z³oœciæ siê z powodu
aufhOren mit D, skoñczyæ z czymœ
aufpassen auf Akk, uwa¿aæ na
aufregen sich Uber Akk, denerwowaæ siê z powodu
ausgeben fUr Akk, wydawaæ na
auskennen sich mit D, znaæ siê na czymœ
bedanken sich bei D fUr Akk,podziêkowaæ komuœ za
bemUhen sich um Akk, staraæ siê o
berichten Uber Akk, powiadamiaæ o
beschAftigen sich mit D, zajmowaæ siê czymœ
beschweren sich Uber Akk, uskar¿aæ siê na
bestehen aus D, sk³adaæ siê z
bewerben sich um Akk, ubiegaæ siê o
bitten um Akk, prosiæ o
danken fUr Akk, dziêkowaæ za
denken an Akk, myœleæ o
dienen zu D, s³u¿yæ do
diskutieren Uber Akk, dyskutowaæ o
eignen sich fUr Akk, nadawaæ siê dla/do
einladen zu D, zaprosiæ na
entscheiden sich fUr Akk, decydowaæ siê na
entschuldigen sich fUr Akk, usprawiedliwiæ siê za
erinnern sich an Akk, przypominaæ sobie o
erkennen an D, rozpoznaæ po
erkundigen sich nach D, dowiedzieæ siê czegoœ
erzAhlen von D, opowiadaæ o
es geht um Akk, chodzi o
fragen nach D, pytaæ o
freuen sich Uber Akk, cieszyæ siê z
freuen sich auf Akk, cieszyæ siê na
gehOren zu D, nale¿eæ do
gewOhnen sich an Akk, przyzwyczaiæ siê do
glauben an Akk, wierzyæ w
gratulieren zu D, gratulowaæ z okazji
grenzen an Akk, graniczyæ z
halten von D, s¹dziæ o
helfen bei D, pomóc przy
hoffen auf Akk, mieæ nadziejê na
informieren sich Uber Akk, informowaæ siê o
interessieren sich fUr Akk, interesowaæ siê czymœ
kAmpfen fUr Akk, walczyæ za
kAmpfen gegen Akk, walczyæ przeciw
kommen/stammen aus D, pochodziæ z
konzentrieren sich auf Akk, koncentrowaæ siê na
kUmmern sich um Akk, troszczyæ siê o
lachen Uber Akk, œmiaæ siê z
leiden an D, cierpieæ na
leiden unter D, cierpieæ z powodu
nachdenken Uber Akk, zastanawiaæ siê nad
protestieren fUr Akk, domagaæ siê czegoœ
protestieren gegen Akk, protestowaæ przeciw
reagieren auf Akk, reagowaæ na
schAmen sich fUr Akk, wstydziæ siê za
schreiben an Akk, pisaæ do
schreiben mit D, pisaæ czymœ
schUtzen sich vor D, chroniæ siê przed
sein fUr Akk, byæ za czymœ
sein gegen Akk, byæ przeciw czemuœ
sehnen sich nach D, têskniæ za
sprechen Uber Akk, mówiæ o
sterben an D, umrzeæ na
stimmen fUr Akk, g³osowaæ za
stimmen gegen Akk, g³osowaæ przeciw
suchen nach D, szukaæ czegoœ
teilnehmen an D, braæ udzia³ w
telefonieren mit D, telefonowaæ do
trAumen von D, marzyæ o
Ubersetzen aus D in Akk, t³umaczyæ z czegoœ na
Uberzeugen von D, przekonywaæ do
unterhalten sich mit D, rozmawiaæ z
verabschieden sich von D, po¿egnaæ siê z
verdienen mit D, zarabiaæ czymœ
verlassen sich auf Akk, polegaæ na
verlieben sich in Akk, zakochaæ siê w
verzichten auf Akk, zrezygnowaæ z
vorbeigehen an D, przechodziæ obok czegoœ
vorbereiten sich auf Akk, przygotowaæ siê do
warnen vor D, ostrzegaæ przed
warten auf Akk, czekaæ na
wenden sich an Akk, zwróciæ siê do
wundern sich Uber Akk, dziwiæ siê z powodu
zweifeln an D, w¹tpiæ w
zwingen zu D, zmuszaæ do
