verb, bedeutung
abhAngen von D, zależeć od
achten auf Akk, uważać na
anfangen/beginnen mit D, rozpoczynać coś
ankommen in D, przybywać do
antworten auf Akk, odpowiadać na
arbeiten an D, pracować nad
Argern sich Uber Akk, złościć się z powodu
aufhOren mit D, skończyć z czymś
aufpassen auf Akk, uważać na
aufregen sich Uber Akk, denerwować się z powodu
ausgeben fUr Akk, wydawać na
auskennen sich mit D, znać się na czymś
bedanken sich bei D fUr Akk,podziękować komuś za
bemUhen sich um Akk, starać się o
berichten Uber Akk, powiadamiać o
beschAftigen sich mit D, zajmować się czymś
beschweren sich Uber Akk, uskarżać się na
bestehen aus D, składać się z
bewerben sich um Akk, ubiegać się o
bitten um Akk, prosić o
danken fUr Akk, dziękować za
denken an Akk, myśleć o
dienen zu D, służyć do
diskutieren Uber Akk, dyskutować o
eignen sich fUr Akk, nadawać się dla/do
einladen zu D, zaprosić na
entscheiden sich fUr Akk, decydować się na
entschuldigen sich fUr Akk, usprawiedliwić się za
erinnern sich an Akk, przypominać sobie o
erkennen an D, rozpoznać po
erkundigen sich nach D, dowiedzieć się czegoś
erzAhlen von D, opowiadać o
es geht um Akk, chodzi o
fragen nach D, pytać o
freuen sich Uber Akk, cieszyć się z
freuen sich auf Akk, cieszyć się na
gehOren zu D, należeć do
gewOhnen sich an Akk, przyzwyczaić się do
glauben an Akk, wierzyć w
gratulieren zu D, gratulować z okazji
grenzen an Akk, graniczyć z
halten von D, sądzić o
helfen bei D, pomóc przy
hoffen auf Akk, mieć nadzieję na
informieren sich Uber Akk, informować się o
interessieren sich fUr Akk, interesować się czymś
kAmpfen fUr Akk, walczyć za
kAmpfen gegen Akk, walczyć przeciw
kommen/stammen aus D, pochodzić z
konzentrieren sich auf Akk, koncentrować się na
kUmmern sich um Akk, troszczyć się o
lachen Uber Akk, śmiać się z
leiden an D, cierpieć na
leiden unter D, cierpieć z powodu
nachdenken Uber Akk, zastanawiać się nad
protestieren fUr Akk, domagać się czegoś
protestieren gegen Akk, protestować przeciw
reagieren auf Akk, reagować na
schAmen sich fUr Akk, wstydzić się za
schreiben an Akk, pisać do
schreiben mit D, pisać czymś
schUtzen sich vor D, chronić się przed
sein fUr Akk, być za czymś
sein gegen Akk, być przeciw czemuś
sehnen sich nach D, tęsknić za
sprechen Uber Akk, mówić o
sterben an D, umrzeć na
stimmen fUr Akk, głosować za
stimmen gegen Akk, głosować przeciw
suchen nach D, szukać czegoś
teilnehmen an D, brać udział w
telefonieren mit D, telefonować do
trAumen von D, marzyć o
Ubersetzen aus D in Akk, tłumaczyć z czegoś na
Uberzeugen von D, przekonywać do
unterhalten sich mit D, rozmawiać z
verabschieden sich von D, pożegnać się z
verdienen mit D, zarabiać czymś
verlassen sich auf Akk, polegać na
verlieben sich in Akk, zakochać się w
verzichten auf Akk, zrezygnować z
vorbeigehen an D, przechodzić obok czegoś
vorbereiten sich auf Akk, przygotować się do
warnen vor D, ostrzegać przed
warten auf Akk, czekać na
wenden sich an Akk, zwrócić się do
wundern sich Uber Akk, dziwić się z powodu
zweifeln an D, wątpić w
zwingen zu D, zmuszać do
