Verb, Bedeutung, PrAteritum, Partizip II
anfangen mit D, zaczynać
aufpassen auf A, uważać na
sich erinnern an A, przypominać sobie o
fragen nach D, pytać się o
sich freuen Uber A, cieszyć się z
sich freuen auf A, cieszyć się na
glauben an A, wierzyć w
hoffen auf A, mieć nadzieję na
sich interessieren fUr A, insteresować się
kAmpfen um A, walczyć o
kAmpfen gegen A, walczyć przeciw
sich kUmmern um A, troszczyć się o
sich sorgen um A, troszczyć się o
sprechen Uber A, mówić o
teilnehmen an D, brać udział w
sich verlieben in A, zakochać się w
warten auf A, czekać na
abhAngen von D, zależeć od
achten auf A, uważać na
antworten auf A, odpowidać na
anrufen bei D, dzwonić do
arbeiten an D, pracować nad
aufhOren mit D, rzucić (np. palenie)
sich aufregen Uber A, złościć się na
beitragen zu D, doprowadzić do, trug bei, beigetragen
sich beschAftigen mit D, zajmować się czymś
bestehen aus D, składać się z
sich bewerben um A, ubiegać się o, bewarb, beworben
bitten um A, prosić o, bat, gebeten
danken fUr A, dziękować za
denken an A, myśleć o
diskutieren Uber A, dyskutować o
einladen zu D, zapraszać na, lud ein, eingeladen
einladen in A, zapraszać do, lud ein, eingeladen
sich entscheiden fUr A, decydować się na, entschied, entschieden
sich erholen von D, odpoczywać od
sich erkundigen nach D, dowiedzieć się o
ersetzen durch A, zastąpić
erzAhlen Uber A / von D, opowiadać o
sich gewOhnen an A, przyzwyczaić się do
gratulieren zu D, gratulować
grenzen an A, graniczyć z
halten fUr A, uważać za, hielt, gehalten
helfen bei D, pomagać przy, half, geholfen
sich konzentrieren auf A, koncentrować się na
lachen Uber A, śmiać się z
leiden an D, cierpieć na, litt, gelitten
profitieren von D, odnosić zyski z
schreiben an A, pisać do, schrieb, geschrieben
sich streiten um A, kłócić się o, stritt, gestritten
suchen nach D, szukać
telefonieren mit D, telefonować z
Ubersetzen aus D in A, tłumaczyć z na
Uberzeugen von D, przekonywać do
sich unterhalten Uber A, rozmawiać o, unterhielt, unterhalten
sich verabschieden von D, żegnać się z
verfUgen Uber A, dysponować
sich verlassen auf A, polegać na, verlieS, verlassen
verstehen unter D, rozumieć coś, verstand, verstanden
verzichten auf A, zrezygnować z
sich vorbereiten auf A, przygotowywać się do
warnen vor D, ostrzegać przed
zwingen zu D, przekonywać do, zwang, gezwungen
